date,state,area,prominent_pollutants,aqi_value,air_quality_status,main_pollutant
2026-06-30,Tripura,Agartala,PM10,85,Satisfactory,PM10
2026-06-30,Uttar Pradesh,Agra,PM2.5 PM10,115,Moderate,PM2.5
2026-06-30,Gujarat,Ahmedabad,PM10,77,Satisfactory,PM10
2026-06-30,Maharashtra,Ahmednagar,PM10,25,Good,PM10
2026-06-30,Mizoram,Aizawl,SO2,15,Good,SO2
2026-06-30,Rajasthan,Ajmer,PM10,98,Satisfactory,PM10
2026-06-30,Maharashtra,Akola,PM10,69,Satisfactory,PM10
2026-06-30,Rajasthan,Alwar,PM10,92,Satisfactory,PM10
2026-06-30,Andhra Pradesh,Amaravati,PM10,55,Satisfactory,PM10
2026-06-30,Haryana,Ambala,PM10,134,Moderate,PM10
2026-06-30,Maharashtra,Amravati,PM10,39,Good,PM10
2026-06-30,Punjab,Amritsar,PM10,103,Moderate,PM10
2026-06-30,Andhra Pradesh,Anantapur,PM2.5,93,Satisfactory,PM2.5
2026-06-30,Odisha,Angul,PM10,72,Satisfactory,PM10
2026-06-30,Bihar,Araria,PM10,56,Satisfactory,PM10
2026-06-30,West Bengal,Asansol,PM10 SO2,47,Good,PM10
2026-06-30,Maharashtra,Aurangabad (Maharashtra),PM2.5 PM10,48,Good,PM2.5
2026-06-30,Himachal Pradesh,Baddi,PM10,132,Moderate,PM10
2026-06-30,Maharashtra,Badlapur,PM10,57,Satisfactory,PM10
2026-06-30,Karnataka,Bagalkot,PM10,51,Satisfactory,PM10
2026-06-30,Uttar Pradesh,Baghpat,PM10,219,Poor,PM10
2026-06-30,Haryana,Bahadurgarh,PM2.5,245,Poor,PM2.5
2026-06-30,Odisha,Balasore,CO,38,Good,CO
2026-06-30,Haryana,Ballabgarh,PM10,139,Moderate,PM10
2026-06-30,Rajasthan,Banswara,PM10,104,Moderate,PM10
2026-06-30,Rajasthan,Baran,O3,129,Moderate,O3
2026-06-30,Odisha,Barbil,PM10,48,Good,PM10
2026-06-30,Uttar Pradesh,Bareilly,PM10,33,Good,PM10
2026-06-30,Odisha,Baripada,O3,47,Good,O3
2026-06-30,Rajasthan,Barmer,PM10,146,Moderate,PM10
2026-06-30,West Bengal,Barrackpore,PM10,44,Good,PM10
2026-06-30,Maharashtra,Beed,PM10,57,Satisfactory,PM10
2026-06-30,Bihar,Begusarai,PM10,36,Good,PM10
2026-06-30,Maharashtra,Belapur,PM10,32,Good,PM10
2026-06-30,Karnataka,Bengaluru,PM10 CO,54,Satisfactory,PM10
2026-06-30,Bihar,Bhagalpur,PM10,66,Satisfactory,PM10
2026-06-30,Rajasthan,Bharatpur,PM10,76,Satisfactory,PM10
2026-06-30,Gujarat,Bhavnagar,PM10,88,Satisfactory,PM10
2026-06-30,Chhattisgarh,Bhilai,PM10 CO,30,Good,PM10
2026-06-30,Rajasthan,Bhilwara,PM10,101,Moderate,PM10
