date,area,prominent_pollutants,aqi_value,air_quality_status
2026-08-21,Agartala,PM 10,81,Satisfactory
2026-08-21,Agra,"PM , SO2 10",73,Satisfactory
2026-08-21,Ahmedabad,"PM , PM 10 2.5",82,Satisfactory
2026-08-21,Ahmednagar,PM 10,36,Good
2026-08-21,Aizawl,PM 10,17,Good
2026-08-21,Ajmer,PM 10,89,Satisfactory
2026-08-21,Akola,PM 10,58,Satisfactory
2026-08-21,Alwar,PM 10,106,Moderate
2026-08-21,Ambala,PM 10,102,Moderate
2026-08-21,Ambernath,PM 10,87,Satisfactory
2026-08-21,Amravati,PM 10,49,Good
2026-08-21,Amritsar,PM 10,65,Satisfactory
2026-08-21,Anantapur,PM 10,73,Satisfactory
2026-08-21,Angul,O 3,78,Satisfactory
2026-08-21,Ankleshwar,CO,43,Good
2026-08-21,Araria,PM 10,57,Satisfactory
2026-08-21,Arrah,CO,55,Satisfactory
2026-08-21,Asansol,"SO2, CO, PM 10",53,Satisfactory
2026-08-21,"Aurangabad
(Maharashtra)",PM 10,45,Good
2026-08-21,Baddi,PM 10,105,Moderate
2026-08-21,Badlapur,CO,38,Good
2026-08-21,Baghpat,PM 10,109,Moderate
2026-08-21,Bahadurgarh,PM 10,87,Satisfactory
2026-08-21,Balasore,O 3,63,Satisfactory
2026-08-21,Ballabgarh,PM 10,106,Moderate
2026-08-21,Banswara,PM 10,76,Satisfactory
2026-08-21,Baran,PM 10,49,Good
2026-08-21,Baraut,PM 2.5,151,Moderate
2026-08-21,Barbil,PM 10,70,Satisfactory
2026-08-21,Bareilly,"PM , SO2 10",64,Satisfactory
2026-08-21,Baripada,PM 10,78,Satisfactory
2026-08-21,Barmer,PM 10,66,Satisfactory
2026-08-21,Barrackpore,PM 10,70,Satisfactory
2026-08-21,Bathinda,PM 10,45,Good
2026-08-21,Beed,PM 10,43,Good
2026-08-21,Begusarai,PM 10,123,Moderate
2026-08-21,Belapur,PM 10,56,Satisfactory
2026-08-21,Belgaum,NO2,29,Good
2026-08-21,Bengaluru,"PM , NO2 10",62,Satisfactory
2026-08-21,Bettiah,CO,47,Good
2026-08-21,Bhagalpur,PM 2.5,61,Satisfactory
2026-08-21,Bhavnagar,CO,60,Satisfactory
2026-08-21,Bhilai,PM 10,33,Good
2026-08-21,Bhilwara,PM 10,100,Satisfactory
2026-08-21,Bhiwadi,PM 2.5,83,Satisfactory
2026-08-21,Bhiwandi,PM 10,35,Good
2026-08-21,Bhopal,PM 10,80,Satisfactory
2026-08-21,Bhubaneswar,PM 10,56,Satisfactory
2026-08-21,Bikaner,PM 10,93,Satisfactory
2026-08-21,Bilaspur,PM 10,78,Satisfactory
2026-08-21,Bileipada,PM 10,85,Satisfactory
2026-08-21,Boisar,PM 10,37,Good
2026-08-21,Brajrajnagar,CO,48,Good
2026-08-21,Bulandshahr,PM 10,119,Moderate
2026-08-21,Bundi,PM 10,73,Satisfactory
2026-08-21,Byasanagar,PM 10,69,Satisfactory
2026-08-21,Byrnihat (Assam),PM 2.5,114,Moderate
2026-08-21,Chamarajanagar,PM 10,47,Good
2026-08-21,Chandigarh,PM 10,50,Good
2026-08-21,Chandrapur,PM 10,83,Satisfactory
2026-08-21,Charkhi dadri,PM 2.5,205,Poor
2026-08-21,Chennai,PM 10,73,Satisfactory
2026-08-21,Chhal,PM 2.5,38,Good
2026-08-21,Chikkaballapur,PM 10,39,Good
2026-08-21,Chikkamagaluru,PM 10,59,Satisfactory
2026-08-21,Chittoor,PM 2.5,75,Satisfactory
2026-08-21,Chittorgarh,PM 10,92,Satisfactory
2026-08-21,Churu,PM 10,91,Satisfactory
2026-08-21,Coimbatore,CO,36,Good
2026-08-21,Cuddalore,SO2,23,Good
2026-08-21,Cuttack,PM 10,65,Satisfactory
2026-08-21,Damoh,SO2,51,Satisfactory
2026-08-21,Dausa,PM 10,83,Satisfactory
2026-08-21,Dehradun,PM 10,54,Satisfactory
2026-08-21,Delhi,PM 10,117,Moderate
2026-08-21,Dewas,PM 10,73,Satisfactory
2026-08-21,Dharuhera,PM 2.5,72,Satisfactory
2026-08-21,Dharwad,PM 10,69,Satisfactory
2026-08-21,Dholpur,PM 10,36,Good
