date,state,area,prominent_pollutants,aqi_value,air_quality_status,main_pollutant
2026-08-04,Tripura,Agartala,PM10,73,Satisfactory,PM10
2026-08-04,Uttar Pradesh,Agra,NO2 SO2,58,Satisfactory,NO2
2026-08-04,Gujarat,Ahmedabad,PM2.5 PM10,91,Satisfactory,PM2.5
2026-08-04,Maharashtra,Ahmednagar,PM10,50,Good,PM10
2026-08-04,Mizoram,Aizawl,SO2,14,Good,SO2
2026-08-04,Rajasthan,Ajmer,PM10,84,Satisfactory,PM10
2026-08-04,Maharashtra,Akola,PM10,46,Good,PM10
2026-08-04,Rajasthan,Alwar,PM10,85,Satisfactory,PM10
2026-08-04,Andhra Pradesh,Amaravati,PM10,59,Satisfactory,PM10
2026-08-04,Haryana,Ambala,PM10,63,Satisfactory,PM10
2026-08-04,Maharashtra,Amravati,PM10,34,Good,PM10
2026-08-04,Punjab,Amritsar,PM10,54,Satisfactory,PM10
2026-08-04,Andhra Pradesh,Anantapur,PM10,55,Satisfactory,PM10
2026-08-04,Odisha,Angul,O3,65,Satisfactory,O3
2026-08-04,Gujarat,Ankleshwar,PM10,67,Satisfactory,PM10
2026-08-04,Bihar,Araria,PM2.5,47,Good,PM2.5
2026-08-04,West Bengal,Asansol,PM2.5 SO2 CO,58,Satisfactory,PM2.5
2026-08-04,Maharashtra,Aurangabad (Maharashtra),PM10,49,Good,PM10
2026-08-04,Himachal Pradesh,Baddi,CO,75,Satisfactory,CO
2026-08-04,Maharashtra,Badlapur,CO,34,Good,CO
2026-08-04,Karnataka,Bagalkot,PM10,51,Satisfactory,PM10
2026-08-04,Haryana,Bahadurgarh,PM10,48,Good,PM10
2026-08-04,Odisha,Balasore,O3,50,Good,O3
2026-08-04,Haryana,Ballabgarh,PM2.5,45,Good,PM2.5
2026-08-04,Rajasthan,Banswara,PM10,42,Good,PM10
2026-08-04,Rajasthan,Baran,PM10,50,Good,PM10
2026-08-04,Odisha,Barbil,PM2.5,70,Satisfactory,PM2.5
2026-08-04,Uttar Pradesh,Bareilly,PM10 SO2,42,Good,PM10
2026-08-04,Odisha,Baripada,O3,60,Satisfactory,O3
2026-08-04,Rajasthan,Barmer,PM10,84,Satisfactory,PM10
2026-08-04,West Bengal,Barrackpore,PM10,64,Satisfactory,PM10
2026-08-04,Maharashtra,Beed,PM10,32,Good,PM10
2026-08-04,Bihar,Begusarai,SO2,29,Good,SO2
2026-08-04,Maharashtra,Belapur,PM10,53,Satisfactory,PM10
2026-08-04,Karnataka,Belgaum,NO2,64,Satisfactory,NO2
2026-08-04,Karnataka,Bengaluru,PM10,53,Satisfactory,PM10
2026-08-04,Bihar,Bhagalpur,PM10,118,Moderate,PM10
2026-08-04,Rajasthan,Bharatpur,CO,31,Good,CO
2026-08-04,Gujarat,Bhavnagar,PM10,64,Satisfactory,PM10
2026-08-04,Chhattisgarh,Bhilai,PM10 CO,28,Good,PM10
2026-08-04,Rajasthan,Bhilwara,PM10,94,Satisfactory,PM10
2026-08-04,Rajasthan,Bhiwadi,PM10,73,Satisfactory,PM10
2026-08-04,Maharashtra,Bhiwandi,PM2.5,72,Satisfactory,PM2.5
2026-08-04,Haryana,Bhiwani,CO,26,Good,CO
2026-08-04,Madhya Pradesh,Bhopal,PM10,54,Satisfactory,PM10
2026-08-04,Odisha,Bhubaneswar,O3 CO,41,Good,O3
2026-08-04,Rajasthan,Bikaner,PM10,65,Satisfactory,PM10
2026-08-04,Odisha,Bileipada,PM10,133,Moderate,PM10
2026-08-04,Maharashtra,Boisar,PM10,47,Good,PM10
2026-08-04,Odisha,Brajrajnagar,O3,44,Good,O3
2026-08-04,Uttar Pradesh,Bulandshahr,PM10,38,Good,PM10
2026-08-04,Rajasthan,Bundi,PM10,47,Good,PM10
2026-08-04,Odisha,Byasanagar,O3,51,Satisfactory,O3
2026-08-04,Meghalaya,Byrnihat (Meghalaya),PM2.5,70,Satisfactory,PM2.5
2026-08-04,Karnataka,Chamarajanagar,PM10,42,Good,PM10
2026-08-04,Chandigarh,Chandigarh,NO2 CO,39,Good,NO2
2026-08-04,Maharashtra,Chandrapur,PM10 CO,45,Good,PM10
2026-08-04,Haryana,Charkhi Dadri,PM2.5,75,Satisfactory,PM2.5
2026-08-04,Tamil Nadu,Chennai,PM10,72,Satisfactory,PM10
2026-08-04,Bihar,Chhapra,CO,86,Satisfactory,CO
2026-08-04,Karnataka,Chikkaballapur,PM10,32,Good,PM10
2026-08-04,Andhra Pradesh,Chittoor,PM10,63,Satisfactory,PM10
2026-08-04,Rajasthan,Chittorgarh,PM10,64,Satisfactory,PM10
2026-08-04,Rajasthan,Churu,PM10,32,Good,PM10
2026-08-04,Tamil Nadu,Coimbatore,SO2,25,Good,SO2
2026-08-04,Tamil Nadu,Cuddalore,SO2,23,Good,SO2
2026-08-04,Odisha,Cuttack,O3,53,Satisfactory,O3
2026-08-04,Madhya Pradesh,Damoh,SO2,50,Good,SO2
2026-08-04,Rajasthan,Dausa,PM10,131,Moderate,PM10
2026-08-04,Uttarakhand,Dehradun,PM2.5,64,Satisfactory,PM2.5
2026-08-04,Delhi,Delhi,PM10 NO2,64,Satisfactory,PM10
2026-08-04,Madhya Pradesh,Dewas,PM10,90,Satisfactory,PM10
2026-08-04,Haryana,Dharuhera,CO,71,Satisfactory,CO
2026-08-04,Karnataka,Dharwad,PM10,60,Satisfactory,PM10
2026-08-04,Rajasthan,Dholpur,PM2.5,248,Poor,PM2.5
2026-08-04,Maharashtra,Dhule,PM10,51,Satisfactory,PM10
2026-08-04,Maharashtra,Dombivli,O3,39,Good,O3
2026-08-04,Rajasthan,Dungarpur,PM10,77,Satisfactory,PM10
2026-08-04,West Bengal,Durgapur,PM10 NO2,85,Satisfactory,PM10
2026-08-04,Kerala,Eloor,CO,125,Moderate,CO
2026-08-04,Andhra Pradesh,Eluru,PM10,53,Satisfactory,PM10
2026-08-04,Haryana,Faridabad,PM10 CO,88,Satisfactory,PM10
2026-08-04,Haryana,Fatehabad,PM10,58,Satisfactory,PM10
2026-08-04,Uttar Pradesh,Fatehpur Sikri,PM10,29,Good,PM10
2026-08-04,Uttar Pradesh,Firozabad,PM10 CO,40,Good,PM10
2026-08-04,Gujarat,Gandhinagar,PM10,101,Moderate,PM10
2026-08-04,Bihar,Gaya,PM2.5 PM10 CO,93,Satisfactory,PM2.5
2026-08-04,Uttar Pradesh,Ghaziabad,PM10 CO,68,Satisfactory,PM10
2026-08-04,Uttar Pradesh,Gorakhpur,SO2,45,Good,SO2
2026-08-04,Uttar Pradesh,Greater Noida,PM10,100,Satisfactory,PM10
2026-08-04,Tamil Nadu,Gummidipoondi,PM2.5,127,Moderate,PM2.5
2026-08-04,Andhra Pradesh,Guntur,PM10,50,Good,PM10
2026-08-04,Haryana,Gurugram,PM2.5 PM10,76,Satisfactory,PM2.5
2026-08-04,Assam,Guwahati,SO2,98,Satisfactory,SO2
2026-08-04,Madhya Pradesh,Gwalior,O3 CO,56,Satisfactory,O3
2026-08-04,Bihar,Hajipur,O3,41,Good,O3
2026-08-04,West Bengal,Haldia,PM10,47,Good,PM10
2026-08-04,Rajasthan,Hanumangarh,O3,34,Good,O3
2026-08-04,Uttar Pradesh,Hapur,CO,39,Good,CO
2026-08-04,Maharashtra,Hingoli,PM10,39,Good,PM10
2026-08-04,Haryana,Hisar,O3,48,Good,O3
2026-08-04,West Bengal,Howrah,PM10 CO,67,Satisfactory,PM10
2026-08-04,Telangana,Hyderabad,PM10,49,Good,PM10
