date,state,area,prominent_pollutants,aqi_value,air_quality_status
2026-09-15,Tripura,Agartala,PM 10,140,Moderate
2026-09-15,Uttar Pradesh,Agra,"PM , SO2, NO2 2.5",66,Satisfactory
2026-09-15,Gujarat,Ahmedabad,"CO, PM 2.5",40,Good
2026-09-15,Maharashtra,Ahmednagar,PM 10,37,Good
2026-09-15,Rajasthan,Ajmer,PM 10,41,Good
2026-09-15,Maharashtra,Akola,PM 10,40,Good
2026-09-15,Rajasthan,Alwar,PM 10,102,Moderate
2026-09-15,Andhra Pradesh,Amaravati,PM 10,39,Good
2026-09-15,Haryana,Ambala,PM 10,104,Moderate
2026-09-15,Maharashtra,Ambernath,SO2,24,Good
2026-09-15,Maharashtra,Amravati,"PM , O 10 3",26,Good
2026-09-15,Punjab,Amritsar,PM 10,73,Satisfactory
2026-09-15,Andhra Pradesh,Anantapur,PM 10,84,Satisfactory
2026-09-15,Gujarat,Ankleshwar,CO,49,Good
2026-09-15,Bihar,Araria,PM 10,72,Satisfactory
2026-09-15,West Bengal,Asansol,"SO2, CO",60,Satisfactory
2026-09-15,Maharashtra,Aurangabad (Maharashtra),"PM , CO 10",43,Good
2026-09-15,Himachal Pradesh,Baddi,CO,102,Moderate
2026-09-15,Maharashtra,Badlapur,CO,45,Good
2026-09-15,Uttar Pradesh,Baghpat,PM 10,117,Moderate
2026-09-15,Haryana,Bahadurgarh,PM 10,93,Satisfactory
2026-09-15,Odisha,Balasore,O 3,45,Good
2026-09-15,Haryana,Ballabgarh,PM 10,60,Satisfactory
2026-09-15,Rajasthan,Banswara,PM 10,38,Good
2026-09-15,Rajasthan,Baran,O 3,34,Good
2026-09-15,Uttar Pradesh,Bareilly,"PM , SO2 10",70,Satisfactory
2026-09-15,Odisha,Baripada,O 3,48,Good
2026-09-15,Rajasthan,Barmer,O 3,60,Satisfactory
2026-09-15,West Bengal,Barrackpore,PM 10,68,Satisfactory
2026-09-15,Punjab,Bathinda,PM 10,71,Satisfactory
2026-09-15,Maharashtra,Beed,PM 10,39,Good
2026-09-15,Bihar,Begusarai,PM 2.5,96,Satisfactory
2026-09-15,Maharashtra,Belapur,PM 10,43,Good
2026-09-15,Karnataka,Bengaluru,"PM , O 10 3",68,Satisfactory
2026-09-15,Bihar,Bhagalpur,PM 10,80,Satisfactory
2026-09-15,Rajasthan,Bharatpur,O 3,55,Satisfactory
2026-09-15,Gujarat,Bhavnagar,CO,65,Satisfactory
2026-09-15,Chhattisgarh,Bhilai,"PM , O , CO 10 3",29,Good
2026-09-15,Rajasthan,Bhilwara,PM 10,65,Satisfactory
2026-09-15,Rajasthan,Bhiwadi,"PM , PM 2.5 10",214,Poor
2026-09-15,Maharashtra,Bhiwandi,PM 10,45,Good
2026-09-15,Haryana,Bhiwani,PM 2.5,86,Satisfactory
2026-09-15,Madhya Pradesh,Bhopal,PM 10,36,Good
2026-09-15,Odisha,Bhubaneswar,O 3,87,Satisfactory
